band,confidence,entry_date,exit_date,exit_price,holding_days,mae_r,market_regime,market_regime_score,mfe_r,momentum_score,r_multiple,relative_strength_score,return_pct,sector,signal_date,stop_hit,support_resistance_score,ticker,tp1_hit,tp2_hit,trend_score,verdict,volatility_score,volume_score
0-59,47,2024-05-02,2024-05-03,181.68,2,-0.13330779484520291,Defensive,35,1.1253497909450358,55,0.824261227224682,26,6.112525249391109,Technology,2024-05-01,False,70,AAPL,True,True,25,SKIP,90,45
0-59,58,2024-05-02,2024-06-12,435.28,29,-0.15199310400052443,Defensive,35,2.19503108413289,20,2.094502926346541,42,11.11414640390029,Technology,2024-05-01,False,100,MSFT,True,True,50,SKIP,90,70
60-74,64,2024-05-02,2024-05-23,96.65,16,-0.09256516438299198,Defensive,35,1.5648587348403038,35,0.870628949034925,90,14.373941658361044,Technology,2024-05-01,False,50,NVDA,True,True,75,WATCH,90,70
60-74,65,2024-05-02,2024-06-12,144.28,29,-0.2841244416675838,Defensive,35,2.1047716115105093,20,1.8178409846653278,51,17.102461399972455,Technology,2024-05-01,False,100,AVGO,True,True,65,WATCH,90,85
0-59,52,2024-05-02,2024-06-12,128.23,29,-0.1796787237348028,Defensive,35,4.488817598836344,20,2.7773617735803247,46,13.777933483118709,Technology,2024-05-01,False,100,ORCL,True,True,40,SKIP,90,45
60-74,61,2024-05-02,2024-06-13,183.8300018310547,30,-0.33524378679856254,Defensive,35,0.5101633905588796,35,0.11971307171447712,58,1.3953765203879276,Consumer Discretionary,2024-05-01,False,25,AMZN,True,False,75,WATCH,90,100
0-59,55,2024-05-02,2024-06-13,182.47000122070312,30,-0.2748193419817514,Defensive,35,0.14373767617589123,100,-0.01497487884285956,41,-0.46288286402480616,Consumer Discretionary,2024-05-01,False,25,TSLA,False,False,60,SKIP,70,45
0-59,54,2024-05-02,2024-06-13,330.8907775878906,30,-0.7403244590859014,Defensive,35,1.0739007210559557,40,0.8676843613418411,34,4.154304565458853,Consumer Discretionary,2024-05-01,False,100,HD,False,False,40,SKIP,90,45
60-74,64,2024-05-02,2024-05-17,195.35,12,-0.2595551731218801,Defensive,35,0.6553396518756657,90,0.6133139345126061,67,5.757397856634232,Financials,2024-05-01,False,25,JPM,True,True,100,WATCH,90,20
0-59,56,2024-05-02,2024-05-21,37.7,14,-0.17445623592722515,Defensive,35,0.557676255428773,70,0.5289221196103643,72,5.989944633745199,Financials,2024-05-01,False,25,BAC,True,True,75,SKIP,90,20
60-74,70,2024-05-02,2024-05-07,425.65,4,-0.05924461172825343,Defensive,35,0.29214151686343964,100,0.25037839419640534,70,3.179413155553052,Financials,2024-05-01,False,25,GS,True,True,100,WATCH,90,45
0-59,49,2024-05-02,2024-05-16,498.41,11,-0.009426158294475198,Defensive,35,0.7065976221092319,90,0.6169799859130594,37,7.864071094671142,Health Care,2024-05-01,False,25,UNH,True,True,50,SKIP,90,20
60-74,71,2024-05-02,2024-05-31,812.38,21,-0.563408566643446,Defensive,35,0.593142466137968,80,0.5445037541139603,68,5.888762612765587,Health Care,2024-05-01,False,25,LLY,True,True,100,WATCH,90,70
0-59,58,2024-05-02,2024-06-13,137.42672729492188,30,-0.5902895010109848,Defensive,35,0.26151574530699256,70,-0.4717076293437956,40,-3.8056805736844597,Health Care,2024-05-01,False,25,JNJ,False,False,50,SKIP,90,100
75-89,75,2024-05-02,2024-06-04,104.57,23,-1.2007488930223458,Defensive,35,1.2136872582293008,40,-1.0611137048386383,76,-3.416681415462961,Energy,2024-05-01,True,100,XOM,False,False,75,BUY,90,100
60-74,66,2024-05-02,2024-06-13,140.3228302001953,30,-0.7790798159457254,Defensive,35,0.7439406069283292,55,-0.744165934121362,59,-4.001318806195716,Energy,2024-05-01,False,70,CVX,False,False,75,WATCH,90,70
60-74,65,2024-05-02,2024-06-13,317.11669921875,30,-0.6963109142449065,Defensive,35,1.7493824288999444,20,-0.45447654046671393,53,-2.393513333552979,Industrials,2024-05-01,False,100,CAT,False,False,65,WATCH,90,85
60-74,66,2024-05-02,2024-06-13,153.65106201171875,30,-0.3313319665837015,Defensive,35,0.42397800993557017,80,-0.2771219512273195,100,-3.776445158109153,Industrials,2024-05-01,False,25,GE,True,False,100,WATCH,90,20
60-74,61,2024-05-02,2024-05-13,194.65,8,-0.34000596787041765,Defensive,35,0.9192448728440036,55,0.8666266803625727,50,4.914318036586368,Industrials,2024-05-01,False,25,HON,True,True,65,WATCH,90,100
60-74,63,2024-05-02,2024-05-16,61.12,11,-0.270896726810776,Defensive,35,3.946254345739666,20,2.3569031041838793,55,5.74620602412987,Consumer Staples,2024-05-01,False,100,WMT,True,True,65,WATCH,90,70
60-74,64,2024-05-02,2024-05-07,749.6,4,-0.11448034947673766,Defensive,35,1.20364451974381,70,0.7948557645998017,50,4.2920006479473995,Consumer Staples,2024-05-01,False,25,COST,True,True,100,WATCH,90,45
60-74,72,2024-05-02,2024-06-06,60.11,25,-0.21327563662325918,Defensive,35,0.40164431919297555,100,0.3320007059095298,55,2.85528255110214,Consumer Staples,2024-05-01,False,25,KO,True,True,100,WATCH,90,70
75-89,77,2024-05-02,2024-05-06,66.82,3,-0.12970297591909366,Defensive,35,0.24863860316561243,90,0.2303737434423021,93,3.2073508284371512,Utilities,2024-05-01,False,25,NEE,True,True,100,BUY,90,85
75-89,77,2024-05-02,2024-05-10,95.0,7,-0.1566065870614551,Defensive,35,0.38246061206297927,100,0.2981048375299821,59,2.796782538060898,Utilities,2024-05-01,False,25,DUK,True,True,100,BUY,90,100
0-59,54,2024-05-02,2024-06-04,184.36,23,-0.21158661510861104,Defensive,35,1.8205412046137468,40,1.6202983600231537,33,11.734093799848466,Real Estate,2024-05-01,False,85,AMT,True,True,25,SKIP,90,85
0-59,48,2024-05-02,2024-06-13,104.26788330078124,30,-0.45073392244838584,Defensive,35,1.9864620883903905,20,1.3597600283933706,4,7.993163704581084,Real Estate,2024-05-01,False,100,PLD,False,False,25,SKIP,90,70
0-59,54,2024-05-02,2024-06-13,267.12286376953125,30,-0.35905876922768054,Defensive,35,1.6141839785104934,20,0.2004302003217213,40,0.6182466235197075,Financials,2024-05-01,False,100,V,False,False,50,SKIP,90,45
0-59,54,2024-05-02,2024-06-13,500.241943359375,30,-0.1386859674556604,Defensive,35,1.5332578521470364,20,1.311236416811821,40,14.598813815908745,Communication Services,2024-05-01,False,100,META,False,False,50,SKIP,90,45
60-74,74,2024-05-02,2024-06-13,173.8197479248047,30,-0.08571626580238371,Defensive,35,0.74057387638023,100,0.4773466910550829,74,6.155335072443429,Communication Services,2024-05-01,False,25,GOOGL,True,False,100,WATCH,90,70
60-74,61,2024-05-02,2024-05-02,412.86,1,-12.412160436900907,Defensive,35,0.0,20,-1.8503270347700547,60,-0.43469241764883737,Materials,2024-05-01,True,85,LIN,False,False,65,WATCH,90,70
60-74,63,2024-05-03,2024-06-14,425.79937744140625,30,-0.013917231214228894,Defensive,35,1.5962703284683295,20,1.278758484344699,49,4.591859562286949,Materials,2024-05-02,False,100,LIN,False,False,50,WATCH,90,100
60-74,73,2024-05-06,2024-06-03,191.42,20,-0.08548332264984167,Risk-on,90,0.5419221167021989,100,0.44506029326258,39,5.767932954351996,Technology,2024-05-03,False,25,AAPL,True,True,70,WATCH,90,100
75-89,76,2024-05-07,2024-05-09,69.02,3,-0.033694035357047805,Risk-on,90,0.24341155867865027,60,0.14099180327193833,97,2.426061100828213,Utilities,2024-05-06,False,25,NEE,True,True,100,BUY,90,70
60-74,70,2024-05-08,2024-05-14,438.39,5,-0.014753078101896432,Risk-on,90,0.28474354455243767,90,0.234420769872316,71,3.4840698196936812,Financials,2024-05-07,False,25,GS,True,True,100,WATCH,90,20
75-89,76,2024-05-08,2024-05-16,782.73,7,-0.0899698214008406,Risk-on,90,0.40061644439437866,90,0.22576509087850619,57,2.499938091478694,Consumer Staples,2024-05-07,False,25,COST,True,True,100,BUY,90,70
75-89,78,2024-05-10,2024-05-15,72.22,4,-0.08498385906701154,Risk-on,90,0.147241349156744,60,0.12674213107820873,100,2.622948533713905,Utilities,2024-05-09,False,25,NEE,True,True,100,BUY,90,85
75-89,75,2024-05-13,2024-06-04,97.6,16,-0.14568733990458863,Risk-on,90,0.2669676122065365,100,0.24527688983569193,64,2.833706212388286,Utilities,2024-05-10,False,25,DUK,True,True,100,BUY,90,45
75-89,79,2024-05-14,2024-06-07,199.45,18,-0.36868586518929997,Risk-on,90,0.3591460126446485,100,0.31421153019573433,49,2.979312650127092,Industrials,2024-05-13,False,25,HON,True,True,100,BUY,90,85
60-74,74,2024-05-15,2024-06-27,428.1783752441406,30,-0.2858399872685184,Risk-on,90,0.13795728348933342,60,-0.20099009947344157,79,-3.0471653249356105,Financials,2024-05-14,False,25,GS,True,False,100,WATCH,90,70
75-89,76,2024-05-16,2024-05-31,74.47,11,-0.156602642857579,Risk-on,90,0.21302158665611137,60,0.13703097489710478,100,2.812990720062524,Utilities,2024-05-15,False,25,NEE,True,True,100,BUY,90,70
60-74,71,2024-05-17,2024-07-01,472.8199768066406,30,-0.8683952935989796,Risk-on,90,0.05354245032300857,90,-0.47780405015432714,40,-5.250944895503975,Health Care,2024-05-16,False,25,UNH,False,False,85,WATCH,90,70
